product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/denim-look-loose-fit-men-grey-jeans/p/itm596375b08ad99?pid=JEAH8Z42BZZRBYGZ&lid=LSTJEAH8Z42BZZRBYGZ4MRAHR&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_24&otracker=search&otracker1=search&fm=Search&iid=f83f3538-a877-4f04-a4ad-b4e72ab343f3.JEAH8Z42BZZRBYGZ.SEARCH&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Loose Fit Mid Rise Grey Jeans,DENIM LOOK ,489,0.8,4.1,896
https://www.flipkart.com/supernova-inc-slim-men-light-blue-jeans/p/itm0462b269ee3cf?pid=JEAFVEG2GMZTJ6NR&lid=LSTJEAFVEG2GMZTJ6NRGODTQI&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_25&otracker=search&otracker1=search&fm=Search&iid=f83f3538-a877-4f04-a4ad-b4e72ab343f3.JEAFVEG2GMZTJ6NR.SEARCH&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Slim Mid Rise Light Blue Jeans,Supernova Inc. ,476,0.63,3.9,54176
https://www.flipkart.com/kazamajeans-regular-men-black-jeans/p/itm2c3f26a2ec1da?pid=JEAH9BFENH3FZMB9&lid=LSTJEAH9BFENH3FZMB9JG8GUQ&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&spotlightTagId=default_BestsellerId_clo%2Fvua%2Fk58%2Fi51&srno=s_1_26&otracker=search&otracker1=search&fm=Search&iid=f83f3538-a877-4f04-a4ad-b4e72ab343f3.JEAH9BFENH3FZMB9.SEARCH&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Regular Mid Rise Black Jeans,KAZAMAJEANS ,292,0.67,3.8,1105
https://www.flipkart.com/killer-slim-men-blue-jeans/p/itmf2ce30290cdc2?pid=JEAHCQKFJNXSUGJV&lid=LSTJEAHCQKFJNXSUGJVDKQVAZ&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_27&otracker=search&otracker1=search&fm=Search&iid=en_KSmnf5MZ_UkCyc0unjEFavAGCsuG9s1qpELpKqTeeN4zQKQXw3Jl1iDa0Qp1hlECdJxZUNyPmQpM_062QaOTAoE8waCTrWcncKeK_ydPfoM%3D&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Slim Mid Rise Blue Jeans,KILLER ,1481,0.62,4.1,32
https://www.flipkart.com/integriti-skinny-men-grey-jeans/p/itm3229c27e2b9b5?pid=JEAHAPD5CEZMKXCB&lid=LSTJEAHAPD5CEZMKXCB3NPX5M&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_28&otracker=search&otracker1=search&fm=Search&iid=en_KSmnf5MZ_UkCyc0unjEFavAGCsuG9s1qpELpKqTeeN5TkCu42oa8G-x8Vur8L1qEZA6BhTBkdoiYNIHpX0sLnU4IsYyWu-Pj9cxFjFAoaLk%3D&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Skinny Mid Rise Grey Jeans,INTEGRITI ,884,0.71,4.1,115
https://www.flipkart.com/meixn-loose-fit-men-light-blue-jeans/p/itm11055a473c723?pid=JEAH4NEDYPYZKCCE&lid=LSTJEAH4NEDYPYZKCCEH8SOZ6&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&spotlightTagId=default_BestsellerId_clo%2Fvua%2Fk58%2Fi51&srno=s_1_29&otracker=search&otracker1=search&fm=Search&iid=f83f3538-a877-4f04-a4ad-b4e72ab343f3.JEAH4NEDYPYZKCCE.SEARCH&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Loose Fit Mid Rise Light Blue Jeans,MEIXN ,407,0.82,3.6,7205
https://www.flipkart.com/premiuma-loose-fit-men-blue-jeans/p/itm0f7aac044ca00?pid=JEAHE6WGXECFK48C&lid=LSTJEAHE6WGXECFK48CXMSE1R&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_30&otracker=search&otracker1=search&fm=Search&iid=f83f3538-a877-4f04-a4ad-b4e72ab343f3.JEAHE6WGXECFK48C.SEARCH&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Loose Fit Mid Rise Blue Jeans,PREMIUMA ,1590,0.2,,
https://www.flipkart.com/urbano-regular-men-light-blue-jeans/p/itm77960c3955f49?pid=JEAGFGG22A5YRR7V&lid=LSTJEAGFGG22A5YRR7VGUQ9C7&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_31&otracker=search&otracker1=search&fm=Search&iid=en_KSmnf5MZ_UkCyc0unjEFavAGCsuG9s1qpELpKqTeeN5KdyCdmPsikzXcKcMPm43_h4BI4feZ-MBVXg4XOYzfCg%3D%3D&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Regular Mid Rise Light Blue Jeans,Urbano ,649,0.59,4,6448
https://www.flipkart.com/killer-slim-men-blue-jeans/p/itmc8435edbc0eed?pid=JEAH4Y4ZGJWDCEFY&lid=LSTJEAH4Y4ZGJWDCEFYXZKOZJ&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_32&otracker=search&otracker1=search&fm=Search&iid=en_KSmnf5MZ_UkCyc0unjEFavAGCsuG9s1qpELpKqTeeN7JgCK5J-2MKttXZri1-nbptH-qKxRMgThHBi78Z4ODF0Ksf8s6I2Oz2HOgbXTo_9U%3D&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Slim Mid Rise Blue Jeans,KILLER ,1439,0.6,3.7,193
https://www.flipkart.com/studio-nexx-regular-men-black-jeans/p/itm3ea293cdce3e7?pid=JEAGM9A2VMBWQ7YQ&lid=LSTJEAGM9A2VMBWQ7YQWXPULA&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_33&otracker=search&otracker1=search&fm=Search&iid=f83f3538-a877-4f04-a4ad-b4e72ab343f3.JEAGM9A2VMBWQ7YQ.SEARCH&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Regular Mid Rise Black Jeans,STUDIO NEXX ,724,0.51,4.1,675
https://www.flipkart.com/wrogn-slim-men-blue-jeans/p/itmb667eca9cc9a8?pid=JEAGR5MY6GCHZMQH&lid=LSTJEAGR5MY6GCHZMQHFEYM8U&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_34&otracker=search&otracker1=search&fm=Search&iid=f83f3538-a877-4f04-a4ad-b4e72ab343f3.JEAGR5MY6GCHZMQH.SEARCH&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Slim Mid Rise Blue Jeans,WROGN ,899,0.55,4,650
https://www.flipkart.com/red-tape-skinny-men-dark-blue-jeans/p/itm758aed4e84f9d?pid=JEAG9GCZ2V2J9EJW&lid=LSTJEAG9GCZ2V2J9EJWSQTTHN&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_35&otracker=search&otracker1=search&fm=Search&iid=f83f3538-a877-4f04-a4ad-b4e72ab343f3.JEAG9GCZ2V2J9EJW.SEARCH&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Skinny Mid Rise Dark Blue Jeans,RED TAPE ,949,0.84,3.7,221
https://www.flipkart.com/asia-denim-regular-men-light-blue-jeans/p/itmba7388cc3388c?pid=JEAHE6QGEGG9GDFE&lid=LSTJEAHE6QGEGG9GDFEFFW5YV&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_36&otracker=search&otracker1=search&fm=Search&iid=f83f3538-a877-4f04-a4ad-b4e72ab343f3.JEAHE6QGEGG9GDFE.SEARCH&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Regular Mid Rise Light Blue Jeans,Asia Denim ,455,0.64,,
https://www.flipkart.com/levi-s-tapered-fit-men-blue-jeans/p/itmb0396cc6e2295?pid=JEAGVYQFAG8DAT6B&lid=LSTJEAGVYQFAG8DAT6BKNPGJE&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_37&otracker=search&otracker1=search&fm=Search&iid=en_KSmnf5MZ_UkCyc0unjEFavAGCsuG9s1qpELpKqTeeN5hPh5B_Pp23QZN6tY0dxZ8ifDac4lDHTkJCT3jaDSM6Oo15S0a61Wzzbg3qNOknKY%3D&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Tapered Fit Low Rise Blue Jeans,LEVI'S ,1649,0.45,4.1,1704
https://www.flipkart.com/killer-jogger-fit-men-dark-blue-jeans/p/itmaa853dcd41eeb?pid=JEAHAH5DNWKRGEU6&lid=LSTJEAHAH5DNWKRGEU6X9B2II&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_38&otracker=search&otracker1=search&fm=Search&iid=en_KSmnf5MZ_UkCyc0unjEFavAGCsuG9s1qpELpKqTeeN4Rpx6jocKpqq8eDOOAMd2j928MhZcSF89ryRMibEgBZ0hz9c-MSIoFe8xMxkfU6dM%3D&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Jogger Fit Mid Rise Dark Blue Jeans,KILLER ,1259,0.58,4,47
https://www.flipkart.com/roadster-regular-men-blue-jeans/p/itmfdwnw49yv8pzm?pid=JEAFDVZTFJC5NJJH&lid=LSTJEAFDVZTFJC5NJJH3ZG09M&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_39&otracker=search&otracker1=search&fm=Search&iid=f83f3538-a877-4f04-a4ad-b4e72ab343f3.JEAFDVZTFJC5NJJH.SEARCH&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Regular Mid Rise Blue Jeans,Roadster ,569,0.62,3.7,3565
